dist_rank,dist_to_lake,site_no,parcel_id
285,11653.943140767742,5309,1924325
286,11741.223367932776,7507,1922586
287,11838.84545376916,6518,1965752
288,11851.775310900959,10645,1921499
289,11871.81502047089,19754,2956686
290,11981.039572747322,11715,1965111
291,12138.708475172914,3964,1922393
292,12147.040546680299,10462,1922519
293,12178.405154157197,7852,1924420
294,12191.39946179108,11695,1922291
295,12218.222263416184,12862,1922273
296,12239.28215890882,22511,1924422
297,12376.39100529427,4099,1921158
298,12442.372155910769,7839,1922388
299,12464.626604786748,7838,1922374
300,12469.305278958653,6563,2956635
301,12613.299583265283,10392,1965338
302,12891.981571421918,6593,1922285
303,12980.702293917004,9172,1922332
304,13086.981497176486,10407,1921161
305,13205.613224361501,3998,1924116
306,13269.908385877077,21653,1924153
307,13339.044363001542,11642,1921215
308,13341.924318476198,21642,1924375
309,13381.727748884236,23061,1921172
310,14633.991903016236,19755,2957033
311,14641.5227107336,6575,2957012
312,14889.759474065937,5443,2957708
313,14991.188121658037,7978,2957710
314,15305.691125370684,10443,2956596
315,15956.180221531538,10452,1924236
316,16195.506252109255,10395,1923795
317,16239.723084647081,5064,1924068
318,16242.889339802716,21637,1966370
319,16866.092972746075,4994,1924014
